project_type,planned_duration,contract_value_lkr,project_size,labourers_count,material_availability,weather_condition,is_delayed,delay_days
Residential,480,142.24,Medium,25,Medium,Monsoon,1,158
Industrial,531,576.47,Large,170,Medium,Clear,0,0
Residential,364,73.77,Medium,24,High,Monsoon,1,65
Industrial,462,825.12,Large,102,Medium,Rainy,0,0
Commercial,430,178.78,Medium,44,Medium,Clear,0,0
Residential,404,116.56,Medium,37,High,Clear,0,0
Commercial,400,128.57,Medium,32,Low,Clear,1,88
Infrastructure,443,690.57,Large,102,High,Clear,0,0
Infrastructure,455,418.15,Large,137,Medium,Clear,0,0
Infrastructure,504,1028.01,Large,87,Medium,Monsoon,1,197
Commercial,484,292.43,Large,77,Medium,Clear,1,119
Commercial,220,143.73,Medium,47,High,Clear,0,0
Infrastructure,237,340.48,Large,110,High,Monsoon,0,0
Residential,176,30.61,Small,19,Medium,Clear,1,26
Commercial,255,82.28,Medium,28,Medium,Monsoon,1,81
Residential,442,75.14,Medium,59,Low,Clear,1,58
Industrial,386,659.32,Large,155,Medium,Rainy,1,137
Industrial,145,143.98,Medium,39,High,Clear,0,0
Residential,348,92.66,Medium,47,High,Rainy,0,0
Infrastructure,140,312.47,Large,156,High,Clear,0,0
Industrial,211,207.88,Large,127,High,Rainy,1,26
Residential,120,27.17,Small,18,High,Clear,0,0
Commercial,120,41.72,Small,6,High,Monsoon,0,0
Industrial,413,262.17,Large,171,High,Clear,0,0
Residential,87,9.55,Small,7,High,Clear,0,0
Commercial,501,295.84,Large,85,High,Rainy,0,0
Residential,102,18.89,Small,12,High,Clear,0,0
Industrial,228,276.44,Large,65,High,Rainy,1,73
Industrial,482,567.5,Large,139,High,Monsoon,1,218
Industrial,145,138.51,Medium,43,Medium,Rainy,1,21
Commercial,236,150.74,Medium,67,High,Clear,0,0
Infrastructure,76,158.8,Medium,58,High,Rainy,1,21
Infrastructure,157,129.5,Medium,49,High,Rainy,0,0
Residential,513,72.56,Medium,64,High,Rainy,0,0
Infrastructure,257,517.21,Large,72,High,Clear,0,0
Residential,157,27.84,Small,9,Medium,Clear,1,58
Commercial,124,78.27,Medium,44,Medium,Clear,0,0
Residential,389,65.89,Medium,39,High,Clear,1,74
Residential,400,71.26,Medium,73,High,Clear,0,0
Residential,64,8.43,Small,22,Low,Clear,1,12
Commercial,61,26.18,Small,19,High,Monsoon,0,0
Residential,81,17.91,Small,22,High,Monsoon,1,21
Infrastructure,171,262.72,Large,125,Low,Rainy,1,62
Residential,116,29.56,Small,14,Low,Clear,1,43
Residential,125,33.81,Small,17,High,Clear,0,0
Commercial,389,222.05,Large,173,Medium,Monsoon,1,68
Infrastructure,157,327.98,Large,106,High,Monsoon,0,0
Residential,203,32.76,Small,16,High,Monsoon,0,0
Commercial,427,216.7,Large,170,Medium,Rainy,1,111
Infrastructure,494,993.79,Large,136,High,Clear,1,95
Commercial,184,90.73,Medium,69,High,Rainy,1,72
Residential,226,49.2,Small,19,Low,Clear,1,59
Residential,145,19.88,Small,15,Low,Clear,0,0
Infrastructure,135,245.65,Large,78,High,Rainy,0,0
Residential,403,109.74,Medium,54,Medium,Clear,0,0
Infrastructure,483,1099.64,Large,162,Medium,Clear,1,190
Commercial,353,233.75,Large,112,Low,Clear,1,110
Industrial,503,739.15,Large,85,High,Clear,1,178
Infrastructure,118,206.32,Large,169,High,Monsoon,0,0
Industrial,197,248.23,Large,73,High,Clear,1,54
Residential,158,20.02,Small,17,High,Clear,0,0
Infrastructure,251,390.19,Large,103,High,Clear,1,79
Commercial,302,158.67,Medium,43,Medium,Clear,1,71
Commercial,378,294.56,Large,164,Medium,Clear,1,139
Commercial,108,55.68,Medium,20,High,Rainy,0,0
Infrastructure,507,879.08,Large,110,Medium,Clear,1,126
Industrial,91,108.58,Medium,62,High,Rainy,0,0
Infrastructure,450,847.12,Large,178,Low,Monsoon,1,169
Commercial,336,226.5,Large,145,Low,Rainy,1,118
Commercial,79,32.59,Small,23,Low,Clear,1,38
Infrastructure,213,361.85,Large,141,Low,Clear,1,88
Residential,442,117.21,Medium,31,High,Monsoon,1,117
Residential,127,24.46,Small,5,High,Clear,0,0
Residential,425,66.17,Medium,38,Medium,Rainy,0,0
Residential,431,99.54,Medium,47,Low,Monsoon,1,209
Residential,273,72.28,Medium,71,High,Monsoon,0,0
Residential,202,22.75,Small,21,High,Monsoon,0,0
Residential,435,111.08,Medium,56,Low,Rainy,1,176
Residential,291,76.92,Medium,45,High,Clear,0,0
Industrial,272,299.19,Large,158,High,Monsoon,0,0
Commercial,138,109.25,Medium,53,Medium,Clear,0,0
Residential,273,70.25,Medium,54,High,Clear,0,0
Commercial,175,120.2,Medium,59,High,Rainy,0,0
Residential,151,37.68,Small,20,Medium,Rainy,0,0
Industrial,329,228.92,Large,97,Medium,Monsoon,1,168
Infrastructure,470,549.57,Large,136,Low,Rainy,1,231
Residential,440,84.83,Medium,42,High,Clear,0,0
Commercial,227,98.06,Medium,73,High,Monsoon,0,0
Infrastructure,117,176.19,Medium,41,Medium,Rainy,1,38
Industrial,343,567.67,Large,75,Medium,Rainy,1,75
Commercial,85,60.53,Medium,47,High,Clear,0,0
Commercial,428,263.23,Large,171,Medium,Clear,0,0
Residential,506,137.44,Medium,54,High,Rainy,0,0
Industrial,125,189.86,Medium,64,High,Clear,1,46
Residential,468,86.95,Medium,65,High,Clear,0,0
Industrial,307,233.75,Large,131,High,Rainy,0,0
Commercial,313,174.37,Medium,63,High,Clear,0,0
Commercial,446,297.98,Large,114,Medium,Clear,0,0
Commercial,515,266.88,Large,178,Medium,Clear,0,0
Residential,103,24.04,Small,12,Low,Clear,0,0
Residential,156,18.54,Small,13,High,Rainy,0,0
Residential,101,25.21,Small,5,High,Clear,0,0
Residential,286,75.09,Medium,25,High,Clear,0,0
Infrastructure,321,642.52,Large,82,High,Rainy,1,96
Residential,226,66.32,Medium,70,Medium,Monsoon,1,120
Residential,495,131.34,Medium,42,Medium,Rainy,1,92
Industrial,338,565.82,Large,102,Medium,Clear,1,43
Infrastructure,148,353.29,Large,166,High,Clear,0,0
Industrial,438,675.29,Large,82,High,Monsoon,1,65
Industrial,237,326.24,Large,155,Medium,Clear,0,0
Residential,486,49.16,Small,17,High,Rainy,0,0
Residential,462,89.24,Medium,62,Medium,Clear,1,149
Infrastructure,256,453.37,Large,77,Low,Clear,1,137
Commercial,366,165.44,Medium,42,High,Rainy,0,0
Residential,326,53.34,Medium,34,Medium,Rainy,0,0
Infrastructure,327,795.91,Large,156,Medium,Rainy,1,32
Residential,133,37.02,Small,11,High,Clear,0,0
Residential,67,18.08,Small,17,Medium,Clear,1,23
Commercial,467,234.9,Large,103,High,Rainy,0,0
Commercial,535,164.16,Medium,37,High,Rainy,0,0
Commercial,356,121.08,Medium,43,Medium,Clear,1,117
Residential,223,36.22,Small,23,Low,Clear,0,0
Infrastructure,144,119.05,Medium,66,High,Clear,1,51
Residential,131,13.55,Small,12,High,Monsoon,1,35
Residential,114,32.3,Small,23,Low,Rainy,1,55
Infrastructure,452,904.21,Large,101,Low,Monsoon,1,75
Industrial,106,95.57,Medium,26,Medium,Clear,0,0
Infrastructure,458,469.68,Large,109,High,Monsoon,1,200
Infrastructure,491,819.86,Large,107,Low,Clear,1,118
Commercial,297,89.89,Medium,39,High,Clear,0,0
Commercial,163,125.38,Medium,46,Medium,Rainy,1,43
Residential,269,49.22,Small,10,High,Clear,0,0
Commercial,101,50.62,Medium,46,Medium,Clear,0,0
Residential,375,66.79,Medium,28,High,Clear,0,0
Residential,527,60.01,Medium,72,High,Clear,0,0
Infrastructure,513,967.08,Large,168,High,Rainy,1,199
Commercial,327,217.95,Large,116,High,Rainy,1,63
Residential,445,104.68,Medium,50,Medium,Rainy,1,73
Residential,322,41.12,Small,12,Low,Rainy,1,136
Commercial,395,232.82,Large,171,Low,Rainy,1,141
Residential,446,95.4,Medium,64,High,Clear,0,0
Infrastructure,424,965.15,Large,136,Medium,Clear,1,118
Commercial,318,155.68,Medium,68,Medium,Monsoon,0,0
Commercial,342,166.12,Medium,42,High,Clear,0,0
Commercial,173,105.4,Medium,39,High,Rainy,1,32
Infrastructure,422,791.77,Large,160,Medium,Clear,1,47
Residential,99,19.19,Small,21,Low,Rainy,0,0
Commercial,476,248.25,Large,87,Medium,Rainy,0,0
Commercial,279,152.63,Medium,60,High,Clear,0,0
Residential,188,51.18,Medium,21,Medium,Clear,0,0
Infrastructure,67,106.13,Medium,44,High,Rainy,0,0
Infrastructure,160,383.66,Large,117,Medium,Clear,0,0
Commercial,475,262.2,Large,173,Medium,Clear,1,115
Infrastructure,439,1059.59,Large,100,High,Rainy,0,0
Infrastructure,235,520.72,Large,65,Low,Clear,1,40
Infrastructure,166,235.08,Large,134,High,Monsoon,1,83
Infrastructure,160,362.91,Large,97,Low,Clear,1,22
Commercial,319,113.26,Medium,25,High,Clear,1,80
Commercial,537,409.48,Large,104,High,Rainy,1,63
Commercial,513,315.92,Large,134,High,Clear,0,0
Infrastructure,425,379.3,Large,73,High,Clear,1,56
Residential,305,69.8,Medium,21,High,Clear,0,0
Infrastructure,334,820.38,Large,99,Medium,Clear,0,0
Infrastructure,91,83.6,Medium,22,Medium,Clear,1,30
Residential,196,41.34,Small,7,Medium,Clear,0,0
Infrastructure,71,147.06,Medium,52,High,Clear,1,23
Residential,454,118.97,Medium,43,Medium,Clear,1,50
Residential,361,65.98,Medium,38,High,Rainy,0,0
Infrastructure,434,497.83,Large,77,Medium,Rainy,1,43
Residential,75,8.14,Small,21,High,Clear,1,10
Infrastructure,188,335.68,Large,175,Low,Rainy,0,0
Infrastructure,122,191.53,Medium,43,Medium,Monsoon,1,53
Commercial,168,130.09,Medium,64,Medium,Rainy,1,51
Residential,434,48.66,Small,7,High,Rainy,0,0
Residential,80,18.97,Small,5,High,Clear,0,0
Commercial,217,67.81,Medium,55,High,Monsoon,0,0
Industrial,328,237.1,Large,84,Low,Clear,1,46
Commercial,221,116.42,Medium,64,Low,Clear,0,0
Residential,319,60.92,Medium,68,High,Rainy,0,0
Commercial,471,302.78,Large,166,Medium,Clear,0,0
Commercial,161,121.57,Medium,53,Medium,Clear,0,0
Infrastructure,282,531.95,Large,148,Medium,Rainy,0,0
Residential,118,34.3,Small,20,High,Rainy,0,0
Infrastructure,306,703.42,Large,157,High,Rainy,1,82
Commercial,187,110.75,Medium,48,High,Rainy,0,0
Industrial,342,541.7,Large,78,Low,Clear,1,149
Residential,384,87.75,Medium,42,Medium,Clear,1,155
Commercial,84,28.5,Small,23,Medium,Rainy,0,0
Industrial,190,277.92,Large,84,Low,Clear,1,101
Residential,412,49.02,Small,20,Medium,Rainy,0,0
Industrial,255,324.44,Large,113,Low,Clear,1,68
Commercial,340,221.45,Large,174,Medium,Clear,0,0
Residential,463,52.46,Medium,28,High,Clear,0,0
Residential,477,69.72,Medium,20,Low,Rainy,1,87
Infrastructure,213,501.96,Large,101,Medium,Clear,0,0
Residential,441,98.46,Medium,38,High,Clear,0,0
Commercial,192,81.24,Medium,52,High,Clear,0,0
Residential,286,68.11,Medium,53,High,Clear,0,0
Commercial,248,148.4,Medium,35,Medium,Clear,0,0
Residential,535,107.17,Medium,63,Low,Clear,0,0
Infrastructure,536,1318.3,Large,163,Low,Clear,1,122
Industrial,324,449.87,Large,114,Low,Clear,1,150
Industrial,431,425.86,Large,77,High,Clear,1,189
Infrastructure,493,1064.94,Large,93,High,Rainy,0,0
Residential,193,53.44,Medium,44,High,Monsoon,0,0
Infrastructure,270,273.48,Large,104,Low,Clear,0,0
Residential,119,16.67,Small,10,High,Clear,0,0
Residential,487,69.76,Medium,40,Medium,Clear,1,128
Residential,436,103.87,Medium,25,Medium,Rainy,1,90
Commercial,454,273.09,Large,155,High,Clear,1,113
Infrastructure,509,942.81,Large,164,High,Clear,0,0
Commercial,490,377.49,Large,107,Low,Rainy,1,126
Commercial,423,291.01,Large,166,Low,Clear,1,100
Residential,423,53.12,Medium,58,High,Rainy,0,0
Industrial,516,491.11,Large,90,Medium,Clear,1,158
Commercial,272,140.81,Medium,61,Low,Rainy,1,35
Commercial,275,136.94,Medium,29,High,Clear,1,52
Residential,285,66.65,Medium,49,High,Monsoon,0,0
Infrastructure,529,1225.28,Large,175,High,Rainy,1,175
Commercial,190,86.07,Medium,37,Medium,Clear,0,0
Residential,135,28.4,Small,24,High,Clear,0,0
Residential,535,137.97,Medium,28,High,Clear,0,0
Commercial,345,175.3,Medium,50,High,Rainy,0,0
Commercial,533,204.7,Large,74,Medium,Monsoon,1,71
Residential,336,65.52,Medium,23,Low,Clear,0,0
Industrial,215,122.93,Medium,59,Low,Monsoon,1,40
Residential,307,88.56,Medium,28,Low,Clear,0,0
Commercial,277,93.46,Medium,64,Medium,Clear,0,0
Industrial,249,266.43,Large,68,High,Monsoon,1,60
Commercial,476,268.91,Large,85,High,Rainy,1,193
Commercial,528,418.52,Large,63,Low,Clear,1,242
Residential,222,29.57,Small,21,High,Rainy,0,0
Residential,239,29.37,Small,20,High,Monsoon,1,30
Industrial,93,47.55,Small,19,Medium,Rainy,1,25
Commercial,100,37.78,Small,7,High,Monsoon,1,23
Infrastructure,366,421.77,Large,111,High,Rainy,0,0
Residential,490,110.8,Medium,24,Low,Clear,0,0
Residential,397,57.14,Medium,74,Low,Monsoon,1,188
Residential,373,38.83,Small,9,High,Clear,0,0
Commercial,134,95.58,Medium,39,Low,Monsoon,1,68
Residential,500,86.56,Medium,34,Medium,Clear,0,0
Infrastructure,338,473.63,Large,77,Medium,Rainy,1,135
Commercial,235,106.04,Medium,66,High,Clear,0,0
Industrial,443,783.22,Large,61,High,Clear,0,0
Residential,209,28.01,Small,17,Medium,Clear,0,0
Infrastructure,332,772.57,Large,63,Low,Monsoon,1,128
Infrastructure,384,814.3,Large,101,Medium,Monsoon,1,206
Infrastructure,167,155.31,Medium,64,High,Clear,0,0
Infrastructure,198,490.53,Large,133,High,Monsoon,1,105
Infrastructure,409,515.88,Large,120,Low,Monsoon,1,242
Commercial,330,115.27,Medium,50,High,Rainy,0,0
Residential,406,107.94,Medium,60,Medium,Clear,0,0
Residential,478,115.36,Medium,27,High,Monsoon,0,0
Industrial,348,453.23,Large,126,High,Rainy,0,0
Commercial,271,102.44,Medium,67,Medium,Monsoon,0,0
Infrastructure,440,709.92,Large,122,Medium,Monsoon,1,159
Commercial,331,228.48,Large,169,High,Monsoon,0,0
Residential,477,76.67,Medium,28,High,Rainy,0,0
Residential,125,20.29,Small,15,Low,Clear,1,37
Commercial,483,145.66,Medium,54,High,Clear,0,0
Commercial,307,118.85,Medium,56,Medium,Clear,0,0
Residential,215,59.14,Medium,61,Low,Clear,0,0
Commercial,106,55.21,Medium,32,High,Rainy,0,0
Residential,482,143.08,Medium,55,Low,Rainy,1,137
Commercial,513,255.4,Large,179,High,Monsoon,1,64
Residential,260,63.19,Medium,32,Medium,Clear,0,0
Infrastructure,207,264.81,Large,71,High,Clear,0,0
Residential,183,31.62,Small,9,Low,Clear,1,42
Commercial,60,23.72,Small,14,High,Clear,0,0
Residential,515,87.25,Medium,28,High,Clear,0,0
Residential,306,64.09,Medium,71,Low,Rainy,0,0
Residential,402,119.94,Medium,26,Medium,Clear,0,0
Commercial,187,118.2,Medium,21,Medium,Rainy,0,0
Commercial,250,99.91,Medium,73,High,Clear,0,0
Residential,126,13.73,Small,11,Medium,Monsoon,0,0
Commercial,63,22.88,Small,12,High,Rainy,1,22
Infrastructure,501,879.93,Large,123,High,Monsoon,1,187
Infrastructure,468,983.16,Large,162,Medium,Monsoon,1,236
Residential,362,104.29,Medium,40,High,Monsoon,0,0
Commercial,353,108.69,Medium,42,Low,Monsoon,1,60
Residential,202,41.32,Small,18,Low,Rainy,1,38
Residential,250,48.54,Small,23,Medium,Clear,0,0
Industrial,80,108.23,Medium,24,Low,Clear,1,37
Residential,286,60.61,Medium,74,Medium,Clear,0,0
Commercial,372,239.39,Large,154,High,Rainy,1,83
Commercial,176,110.71,Medium,44,Medium,Clear,1,24
Infrastructure,496,495.46,Large,90,High,Monsoon,1,267
Commercial,361,252.65,Large,109,High,Monsoon,1,162
Residential,201,25.05,Small,24,Low,Clear,0,0
Residential,519,124.41,Medium,63,Medium,Clear,0,0
Commercial,460,233.71,Large,114,Low,Monsoon,1,162
Residential,98,19.87,Small,21,High,Clear,0,0
Residential,452,126.86,Medium,64,Medium,Rainy,1,175
Residential,414,115.08,Medium,21,High,Clear,0,0
Residential,311,81.97,Medium,44,Medium,Rainy,0,0
Residential,392,79.2,Medium,32,Medium,Clear,0,0
Residential,266,65.77,Medium,58,Medium,Monsoon,1,107
Commercial,269,149.68,Medium,47,High,Rainy,0,0
Commercial,174,127.86,Medium,61,High,Clear,0,0
Infrastructure,284,421.66,Large,178,High,Clear,1,106
Residential,193,56.75,Medium,25,Medium,Clear,0,0
Residential,310,88.8,Medium,22,Low,Monsoon,1,173
Residential,278,69.03,Medium,54,High,Rainy,1,36
Commercial,466,204.9,Large,141,Medium,Clear,0,0
Infrastructure,502,513.95,Large,134,Low,Clear,1,199
Residential,150,40.64,Small,24,Medium,Clear,0,0
Industrial,413,295.25,Large,123,Medium,Rainy,0,0
Residential,435,117.82,Medium,24,Low,Rainy,1,55
Commercial,105,57.27,Medium,38,High,Clear,0,0
Infrastructure,97,144.64,Medium,41,High,Rainy,0,0
Infrastructure,201,469.42,Large,118,High,Rainy,1,23
Infrastructure,159,290.42,Large,119,Low,Monsoon,1,95
Infrastructure,387,688.95,Large,142,Low,Monsoon,1,159
Residential,249,52.73,Medium,66,Medium,Rainy,1,89
Infrastructure,94,134.51,Medium,35,High,Rainy,1,36
Residential,206,52.97,Medium,43,High,Clear,0,0
Infrastructure,89,109.45,Medium,60,High,Monsoon,1,46
Commercial,393,302.39,Large,127,High,Clear,0,0
Infrastructure,143,331.73,Large,74,Medium,Clear,1,57
Commercial,428,200.62,Large,148,Low,Clear,0,0
Commercial,340,226.01,Large,167,Low,Monsoon,1,132
Commercial,483,283.33,Large,114,Medium,Clear,0,0
Infrastructure,403,553.72,Large,94,High,Clear,1,87
Residential,329,97.94,Medium,74,High,Clear,0,0
Residential,213,22.38,Small,18,High,Clear,0,0
Residential,161,24.24,Small,21,Medium,Clear,0,0
Residential,274,55.9,Medium,38,Low,Rainy,0,0
Infrastructure,209,352.65,Large,161,High,Monsoon,1,38
Residential,491,106.93,Medium,55,High,Clear,1,117
Industrial,142,209.76,Large,66,High,Monsoon,1,38
Residential,169,37.97,Small,23,High,Rainy,0,0
Residential,494,108.71,Medium,68,Medium,Clear,0,0
Infrastructure,446,397.37,Large,148,High,Rainy,1,131
Commercial,485,236.81,Large,75,Medium,Monsoon,0,0
Commercial,334,138.95,Medium,66,Low,Clear,1,138
Commercial,260,112.5,Medium,73,Medium,Clear,0,0
Infrastructure,343,597.63,Large,163,High,Monsoon,1,182
Residential,527,73.73,Medium,70,High,Rainy,1,187
Industrial,232,204.66,Large,131,Medium,Clear,0,0
Industrial,386,311.97,Large,141,High,Rainy,1,125
Commercial,265,205.18,Large,151,High,Clear,0,0
Residential,122,35.25,Small,20,Medium,Monsoon,0,0
Commercial,132,79.86,Medium,71,Medium,Clear,1,28
Residential,310,88.32,Medium,38,Medium,Clear,0,0
Residential,183,47.06,Small,14,High,Rainy,0,0
Residential,434,94.61,Medium,36,Low,Clear,0,0
Commercial,180,54.58,Medium,64,High,Clear,0,0
Infrastructure,334,705.83,Large,136,High,Rainy,1,37
Infrastructure,490,977.17,Large,66,Medium,Rainy,1,98
Infrastructure,457,843.59,Large,86,Medium,Clear,0,0
Commercial,179,121.76,Medium,29,Low,Rainy,0,0
Residential,481,97.44,Medium,53,Medium,Clear,1,177
Residential,496,119.45,Medium,55,Low,Clear,0,0
Industrial,376,645.11,Large,84,Low,Clear,1,80
Residential,223,39.06,Small,10,Medium,Clear,1,77
Infrastructure,483,967.84,Large,83,Medium,Monsoon,1,175
Commercial,524,281.83,Large,77,Medium,Clear,1,83
Commercial,345,219.83,Large,146,Low,Rainy,1,82
Infrastructure,324,679.4,Large,65,Medium,Clear,0,0
Commercial,379,122.31,Medium,48,High,Monsoon,0,0
Infrastructure,220,417.83,Large,84,Medium,Rainy,1,60
Industrial,435,345.72,Large,114,High,Rainy,0,0
Commercial,367,233.05,Large,140,High,Clear,0,0
Residential,148,28.66,Small,18,High,Clear,0,0
Commercial,201,138.04,Medium,43,Medium,Clear,1,49
Industrial,262,173.03,Medium,30,Low,Monsoon,1,141
Residential,368,82.9,Medium,45,High,Clear,0,0
Commercial,286,125.62,Medium,70,High,Rainy,1,102
Commercial,502,364.7,Large,157,High,Rainy,1,151
Infrastructure,393,934.65,Large,87,Medium,Clear,0,0
Residential,281,84.1,Medium,22,High,Rainy,1,108
Infrastructure,100,215.32,Large,134,High,Rainy,1,29
Industrial,255,377.36,Large,97,High,Rainy,1,111
Residential,127,18.17,Small,18,Medium,Clear,1,22
Residential,535,89.45,Medium,70,High,Clear,0,0
Industrial,323,357.04,Large,149,Medium,Clear,0,0
Residential,61,15.54,Small,20,High,Rainy,1,21
Infrastructure,420,989.29,Large,80,Medium,Rainy,1,96
Commercial,184,72.6,Medium,73,High,Clear,0,0
Residential,169,48.08,Small,11,Medium,Monsoon,1,40
Infrastructure,145,287.47,Large,153,High,Clear,0,0
Commercial,484,293.01,Large,118,Medium,Monsoon,1,94
Commercial,179,71.59,Medium,27,Low,Monsoon,0,0
Residential,186,20.67,Small,23,Low,Monsoon,1,79
Commercial,314,183.45,Medium,39,Medium,Rainy,1,55
Residential,242,55.73,Medium,67,Medium,Clear,1,41
Residential,75,10.66,Small,11,Low,Clear,1,41
Industrial,536,655.74,Large,68,Medium,Rainy,1,204
Residential,121,32.83,Small,17,High,Clear,0,0
Commercial,428,307.1,Large,60,Low,Clear,1,193
Residential,491,140.17,Medium,48,High,Rainy,0,0
Infrastructure,217,308.58,Large,122,High,Clear,0,0
Residential,327,53.5,Medium,27,High,Monsoon,0,0
Industrial,94,138.58,Medium,73,High,Monsoon,1,42
Commercial,326,168.07,Medium,23,Medium,Monsoon,0,0
Residential,123,14.45,Small,7,High,Rainy,1,54
Residential,109,17.07,Small,7,High,Monsoon,0,0
Residential,528,97.0,Medium,73,High,Rainy,0,0
Commercial,314,140.13,Medium,64,Medium,Rainy,0,0
Residential,208,34.62,Small,12,Medium,Clear,1,62
Infrastructure,384,498.98,Large,66,High,Monsoon,1,81
Commercial,363,116.43,Medium,46,High,Monsoon,0,0
Residential,335,76.19,Medium,20,High,Clear,0,0
Commercial,416,249.04,Large,150,Low,Clear,1,208
Infrastructure,510,974.48,Large,139,Medium,Rainy,1,183
Residential,231,31.98,Small,10,Medium,Clear,0,0
Residential,476,75.75,Medium,26,High,Monsoon,1,139
Residential,260,58.22,Medium,63,Medium,Monsoon,0,0
Infrastructure,504,916.96,Large,146,Medium,Clear,1,133
Commercial,452,250.03,Large,100,High,Rainy,0,0
Commercial,383,182.0,Medium,30,High,Clear,0,0
Infrastructure,94,221.09,Large,101,High,Rainy,0,0
Infrastructure,524,721.87,Large,176,Low,Clear,0,0
Commercial,275,145.15,Medium,52,Low,Rainy,0,0
Infrastructure,539,1052.56,Large,109,Medium,Clear,1,131
Residential,124,25.87,Small,8,Medium,Clear,0,0
Residential,67,11.35,Small,9,High,Clear,0,0
Residential,360,67.37,Medium,60,Medium,Clear,1,153
Residential,402,104.08,Medium,36,Medium,Rainy,0,0
Commercial,490,215.14,Large,158,High,Clear,0,0
Industrial,483,330.82,Large,107,Low,Clear,0,0
Residential,391,63.59,Medium,24,High,Monsoon,1,103
Residential,497,134.14,Medium,67,High,Monsoon,0,0
Commercial,135,46.51,Small,7,Medium,Monsoon,1,70
Industrial,233,416.88,Large,175,Medium,Monsoon,1,117
Residential,106,22.07,Small,19,Medium,Clear,0,0
Commercial,74,58.64,Medium,54,High,Clear,0,0
Residential,420,120.88,Medium,71,Low,Rainy,1,168
Residential,206,39.26,Small,18,Medium,Monsoon,0,0
Industrial,85,64.43,Medium,67,Medium,Monsoon,1,30
Industrial,367,262.17,Large,120,Low,Clear,1,105
Residential,152,22.5,Small,21,Medium,Clear,0,0
Industrial,465,661.78,Large,83,High,Clear,1,49
Commercial,291,127.01,Medium,71,Medium,Rainy,1,42
Infrastructure,80,110.43,Medium,42,High,Rainy,1,29
Commercial,366,191.93,Medium,37,High,Clear,0,0
Commercial,97,73.39,Medium,69,High,Clear,0,0
Commercial,335,132.22,Medium,73,Low,Rainy,0,0
Commercial,216,65.34,Medium,33,High,Rainy,1,57
Residential,238,26.66,Small,22,Medium,Clear,0,0
Residential,191,53.66,Medium,34,High,Monsoon,1,34
Residential,370,84.92,Medium,34,Medium,Rainy,1,71
Infrastructure,514,649.78,Large,129,Medium,Rainy,1,221
Residential,407,55.12,Medium,46,Medium,Rainy,0,0
Commercial,87,38.9,Small,19,High,Clear,0,0
Industrial,319,207.11,Large,109,Medium,Clear,0,0
Residential,465,134.06,Medium,55,Low,Rainy,1,132
Commercial,135,93.43,Medium,74,Medium,Clear,0,0
Commercial,488,259.22,Large,67,Medium,Monsoon,1,244
Infrastructure,126,286.07,Large,138,Low,Rainy,1,32
Residential,401,60.11,Medium,22,High,Monsoon,1,139
Commercial,253,166.62,Medium,66,Medium,Clear,0,0
Infrastructure,531,1197.63,Large,136,Low,Clear,1,71
Industrial,221,213.0,Large,164,High,Rainy,0,0
Commercial,406,275.57,Large,157,Medium,Clear,0,0
Commercial,498,222.87,Large,147,High,Rainy,0,0
Commercial,420,188.76,Medium,59,Medium,Monsoon,1,142
Infrastructure,316,310.31,Large,155,Medium,Clear,1,102
Commercial,131,68.12,Medium,51,High,Rainy,0,0
Residential,146,35.91,Small,24,Medium,Clear,0,0
Industrial,481,828.42,Large,172,High,Clear,1,87
Commercial,321,193.21,Medium,32,High,Monsoon,0,0
Commercial,273,199.72,Medium,20,High,Monsoon,0,0
Residential,212,56.07,Medium,53,Low,Clear,1,80
Commercial,269,104.01,Medium,34,High,Monsoon,1,105
Residential,460,90.7,Medium,63,Low,Clear,1,195
Commercial,120,43.02,Small,18,Medium,Clear,1,44
Residential,327,77.31,Medium,48,High,Clear,0,0
Commercial,321,248.76,Large,157,Medium,Monsoon,1,80
Industrial,277,187.87,Medium,37,Medium,Clear,1,82
Residential,342,84.4,Medium,73,Medium,Rainy,0,0
Industrial,195,257.77,Large,130,High,Rainy,0,0
Commercial,526,311.29,Large,152,High,Rainy,1,233
Infrastructure,439,642.35,Large,178,High,Clear,1,181
Infrastructure,421,590.97,Large,90,High,Clear,0,0
Commercial,508,163.89,Medium,44,High,Clear,0,0
Infrastructure,500,585.22,Large,97,High,Rainy,1,216
Infrastructure,152,125.52,Medium,33,High,Rainy,0,0
Commercial,168,99.24,Medium,27,High,Rainy,1,39
Residential,300,36.35,Small,6,High,Rainy,0,0
Commercial,414,304.92,Large,140,High,Clear,0,0
Infrastructure,483,815.95,Large,160,Low,Monsoon,1,262
Infrastructure,201,399.88,Large,137,High,Rainy,1,63
Infrastructure,350,524.46,Large,148,Medium,Clear,1,45
Commercial,491,284.92,Large,115,High,Clear,1,190
Infrastructure,296,711.15,Large,153,Low,Monsoon,1,144
Residential,399,46.5,Small,24,High,Monsoon,0,0
Commercial,371,158.41,Medium,40,Low,Clear,1,78
Residential,236,60.42,Medium,72,Medium,Rainy,0,0
Residential,200,23.95,Small,7,High,Clear,1,25
Residential,248,28.55,Small,9,Low,Clear,1,121
Residential,108,18.61,Small,20,Medium,Rainy,1,13
Commercial,361,124.94,Medium,69,High,Rainy,0,0
Residential,428,92.88,Medium,68,Medium,Rainy,0,0
Commercial,249,102.87,Medium,62,Low,Clear,0,0
Residential,195,54.43,Medium,36,Medium,Clear,1,25
Residential,102,26.18,Small,20,High,Clear,1,25
